Ward,Office,Party,Candidate,Total,Total Percentage
6,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,1457,25.77%
6,RECORDER OF DEEDS,Democratic,SHANE COHN,3078,54.44%
6,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",632,11.18%
6,RECORDER OF DEEDS,Green,JEROME H. BAUER,6,54.55%
6,RECORDER OF DEEDS,Green,DON DE VIVO,5,45.45%
6,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,6492,94.61%
6,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,370,5.39%
6,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,4600,70.77%
6,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,1900,29.23%
6,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,395,5.72%
6,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,6513,94.28%
6,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,414,5.99%
6,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,6495,94.01%
6,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,5844,87.56%
6,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,830,12.44%
7,STATE AUDITOR,Republican,SCOTT FITZPATRICK,75,82.42%
7,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,16,17.58%
7,STATE AUDITOR,Democratic,QUENTIN WILSON,2630,70.70%
7,STATE AUDITOR,Democratic,GREGORY UPCHURCH,1090,29.30%
7,STATE AUDITOR,Libertarian,DUSTIN COFFELL,11,100.00%
7,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,38,41.76%
7,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,53,58.24%
7,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,74,1.60%
7,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,38,0.82%
7,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,2852,61.65%
7,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1648,35.62%
7,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,14,0.30%
7,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,12,100.00%
7,STATE SENATOR DISTRICT 4,Democratic,STEVE BUTZ,90,18.99%
7,STATE SENATOR DISTRICT 4,Democratic,GINA MITTEN,384,81.01%
7,STATE REPRESENTATIVE DISTRICT 76,Democratic,MARLON ANDERSON,65,100.00%
7,STATE REPRESENTATIVE DISTRICT 77,Democratic,KIMBERLY-ANN COLLINS,143,100.00%
7,STATE REPRESENTATIVE DISTRICT 77,Libertarian,MICHAEL COREY,0,0.00%
7,STATE REPRESENTATIVE DISTRICT 78,Democratic,MARTY JOE MURRAY,1744,100.00%
7,STATE REPRESENTATIVE DISTRICT 79,Republican,MIKE HEBRON,25,100.00%
7,STATE REPRESENTATIVE DISTRICT 79,Democratic,RACHEL D'SOUZA,797,62.95%
7,STATE REPRESENTATIVE DISTRICT 79,Democratic,ADAM S. HOPKINS,213,16.82%
7,STATE REPRESENTATIVE DISTRICT 79,Democratic,HELEN BAILEY,256,20.22%
7,STATE REPRESENTATIVE DISTRICT 80,Republican,JENNIE DRAG,23,100.00%
7,STATE REPRESENTATIVE DISTRICT 80,Democratic,ELIZABETH (LILLY) FUCHS,651,100.00%
7,COLLECTOR OF REVENUE,Democratic,GREGORY F.X. DALY,3744,100.00%
7,LICENSE COLLECTOR,Democratic,"MAVIS ""TESSA"" THOMPSON",3371,84.15%
7,LICENSE COLLECTOR,Democratic,DYLAN HASSINGER,635,15.85%
7,RECORDER OF DEEDS,Democratic,"ANTHONY T. BRANDON, JR.",552,13.45%
7,RECORDER OF DEEDS,Democratic,PATTY ELLISON-BROWN,1006,24.51%
7,RECORDER OF DEEDS,Democratic,SHANE COHN,1837,44.75%
7,RECORDER OF DEEDS,Democratic,"YOLONDA ""YOGI"" YANCIE",710,17.30%
7,RECORDER OF DEEDS,Green,JEROME H. BAUER,7,100.00%
7,RECORDER OF DEEDS,Green,DON DE VIVO,0,0.00%
7,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,YES - FOR THE AMENDMENT,4331,88.64%
7,CONSTITUTIONAL AMENDMENT NO. 1,Nonpartisan,NO - AGAINST THE AMENDMENT,555,11.36%
7,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,YES - FOR THE AMENDMENT,3415,72.41%
